animal,weight_kg,age,zone
Обезьяна,2644.5,15,B
Жираф,240.7,18,A
Жираф,3260.0,1,A
Лев,2387.1,29,B
Медведь,24.3,9,C
Пингвин,3815.8,3,C
Обезьяна,4413.9,7,B
Пингвин,1364.8,9,B
Обезьяна,2588.7,26,C
Лев,1875.8,20,C
Обезьяна,275.3,5,C
Жираф,275.2,19,B
Обезьяна,2231.2,9,C
Жираф,984.5,21,C
Пингвин,2665.1,1,B
Тигр,860.2,30,C
Обезьяна,2889.5,2,B
Обезьяна,3629.5,17,B
Жираф,3369.9,14,B
Обезьяна,89.8,20,C
Жираф,1611.5,23,A
Слон,3404.7,27,B
Обезьяна,4622.9,15,B
Зебра,1557.9,20,B
Медведь,1958.3,21,B
Обезьяна,1114.8,15,A
Лев,1107.9,4,C
Обезьяна,1719.4,6,C
Пингвин,484.3,13,C
Тигр,24.4,10,C
Обезьяна,196.1,24,A
Пингвин,805.4,6,C
Тигр,275.9,30,A
Медведь,2490.2,1,A
Лев,1219.4,19,C
Лев,4216.0,18,C
Медведь,2056.3,10,C
Медведь,4646.9,21,A
Тигр,4019.6,28,B
Обезьяна,1845.3,18,A
Жираф,1006.2,14,C
Жираф,2565.5,22,C
Пингвин,2269.6,8,B
Слон,2941.8,25,C
Лев,1001.9,16,C
Слон,1330.5,28,A
Пингвин,1386.1,29,B
Обезьяна,4973.3,21,C
Лев,539.2,30,B
Пингвин,73.5,23,B
